"Notes","Census Division","Census Division Code","Year","Year Code","Age of Mother","Age of Mother Code",Births
,"Division 6: East South Central","CENS-D6","1995","1995","20-24 years","20-24",69645
,"Division 6: East South Central","CENS-D6","1995","1995","25-29 years","25-29",58126
,"Division 6: East South Central","CENS-D6","1995","1995","30-34 years","30-34",40350
,"Division 6: East South Central","CENS-D6","1995","1995","35-39 years","35-39",14891
,"Division 6: East South Central","CENS-D6","1995","1995","40-44 years","40-44",2375
,"Division 6: East South Central","CENS-D6","1995","1995","45-49 years","45-49",76
,"Division 6: East South Central","CENS-D6","1995","1995","50 years and over","50+",0
,"Division 6: East South Central","CENS-D6","1996","1996","Under 15 years","15",1095
,"Division 6: East South Central","CENS-D6","1996","1996","15-19 years","15-19",40105
,"Division 6: East South Central","CENS-D6","1996","1996","20-24 years","20-24",68102
,"Division 6: East South Central","CENS-D6","1996","1996","25-29 years","25-29",60456
,"Division 6: East South Central","CENS-D6","1996","1996","30-34 years","30-34",39791
,"Division 6: East South Central","CENS-D6","1996","1996","35-39 years","35-39",15710
,"Division 6: East South Central","CENS-D6","1996","1996","40-44 years","40-44",2588
,"Division 6: East South Central","CENS-D6","1996","1996","45-49 years","45-49",88
,"Division 6: East South Central","CENS-D6","1996","1996","50 years and over","50+",0
,"Division 6: East South Central","CENS-D6","1997","1997","Under 15 years","15",940
,"Division 6: East South Central","CENS-D6","1997","1997","15-19 years","15-19",39181
,"Division 6: East South Central","CENS-D6","1997","1997","20-24 years","20-24",68985
,"Division 6: East South Central","CENS-D6","1997","1997","25-29 years","25-29",62064
,"Division 6: East South Central","CENS-D6","1997","1997","30-34 years","30-34",40043
,"Division 6: East South Central","CENS-D6","1997","1997","35-39 years","35-39",16168
,"Division 6: East South Central","CENS-D6","1997","1997","40-44 years","40-44",2669
,"Division 6: East South Central","CENS-D6","1997","1997","45-49 years","45-49",76
,"Division 6: East South Central","CENS-D6","1997","1997","50 years and over","50+",Suppressed
,"Division 6: East South Central","CENS-D6","1998","1998","Under 15 years","15",895
,"Division 6: East South Central","CENS-D6","1998","1998","15-19 years","15-19",39007
,"Division 6: East South Central","CENS-D6","1998","1998","20-24 years","20-24",72113
,"Division 6: East South Central","CENS-D6","1998","1998","25-29 years","25-29",64611
,"Division 6: East South Central","CENS-D6","1998","1998","30-34 years","30-34",40411
,"Division 6: East South Central","CENS-D6","1998","1998","35-39 years","35-39",16766
,"Division 6: East South Central","CENS-D6","1998","1998","40-44 years","40-44",2829
,"Division 6: East South Central","CENS-D6","1998","1998","45-49 years","45-49",102
,"Division 6: East South Central","CENS-D6","1998","1998","50 years and over","50+",Suppressed
,"Division 6: East South Central","CENS-D6","1999","1999","Under 15 years","15",794
,"Division 6: East South Central","CENS-D6","1999","1999","15-19 years","15-19",37818
,"Division 6: East South Central","CENS-D6","1999","1999","20-24 years","20-24",72900
,"Division 6: East South Central","CENS-D6","1999","1999","25-29 years","25-29",64516
,"Division 6: East South Central","CENS-D6","1999","1999","30-34 years","30-34",40604
,"Division 6: East South Central","CENS-D6","1999","1999","35-39 years","35-39",17313
,"Division 6: East South Central","CENS-D6","1999","1999","40-44 years","40-44",2941
,"Division 6: East South Central","CENS-D6","1999","1999","45-49 years","45-49",124
,"Division 6: East South Central","CENS-D6","1999","1999","50 years and over","50+",Suppressed
,"Division 6: East South Central","CENS-D6","2000","2000","Under 15 years","15",794
,"Division 6: East South Central","CENS-D6","2000","2000","15-19 years","15-19",36988
,"Division 6: East South Central","CENS-D6","2000","2000","20-24 years","20-24",76288
,"Division 6: East South Central","CENS-D6","2000","2000","25-29 years","25-29",65513
,"Division 6: East South Central","CENS-D6","2000","2000","30-34 years","30-34",42175
,"Division 6: East South Central","CENS-D6","2000","2000","35-39 years","35-39",17964
,"Division 6: East South Central","CENS-D6","2000","2000","40-44 years","40-44",3170
,"Division 6: East South Central","CENS-D6","2000","2000","45-49 years","45-49",120
,"Division 6: East South Central","CENS-D6","2000","2000","50 years and over","50+",Suppressed
,"Division 6: East South Central","CENS-D6","2001","2001","Under 15 years","15",687
,"Division 6: East South Central","CENS-D6","2001","2001","15-19 years","15-19",34118
,"Division 6: East South Central","CENS-D6","2001","2001","20-24 years","20-24",74919
,"Division 6: East South Central","CENS-D6","2001","2001","25-29 years","25-29",62442
,"Division 6: East South Central","CENS-D6","2001","2001","30-34 years","30-34",42762
,"Division 6: East South Central","CENS-D6","2001","2001","35-39 years","35-39",17466
,"Division 6: East South Central","CENS-D6","2001","2001","40-44 years","40-44",3197
,"Division 6: East South Central","CENS-D6","2001","2001","45-49 years","45-49",137
,"Division 6: East South Central","CENS-D6","2001","2001","50 years and over","50+",Suppressed
,"Division 6: East South Central","CENS-D6","2002","2002","Under 15 years","15",657
,"Division 6: East South Central","CENS-D6","2002","2002","15-19 years","15-19",32587
,"Division 6: East South Central","CENS-D6","2002","2002","20-24 years","20-24",74085
,"Division 6: East South Central","CENS-D6","2002","2002","25-29 years","25-29",61068
,"Division 6: East South Central","CENS-D6","2002","2002","30-34 years","30-34",43475
,"Division 6: East South Central","CENS-D6","2002","2002","35-39 years","35-39",16941
,"Division 6: East South Central","CENS-D6","2002","2002","40-44 years","40-44",3228
,"Division 6: East South Central","CENS-D6","2002","2002","45-49 years","45-49",152
,"Division 6: East South Central","CENS-D6","2002","2002","50 years and over","50+",Suppressed
,"Division 7: West South Central","CENS-D7","1995","1995","Under 15 years","15",2075
,"Division 7: West South Central","CENS-D7","1995","1995","15-19 years","15-19",78692
,"Division 7: West South Central","CENS-D7","1995","1995","20-24 years","20-24",137795
,"Division 7: West South Central","CENS-D7","1995","1995","25-29 years","25-29",121520
,"Division 7: West South Central","CENS-D7","1995","1995","30-34 years","30-34",88116
,"Division 7: West South Central","CENS-D7","1995","1995","35-39 years","35-39",35073
,"Division 7: West South Central","CENS-D7","1995","1995","40-44 years","40-44",5794
,"Division 7: West South Central","CENS-D7","1995","1995","45-49 years","45-49",176
,"Division 7: West South Central","CENS-D7","1995","1995","50 years and over","50+",0
,"Division 7: West South Central","CENS-D7","1996","1996","Under 15 years","15",2019
,"Division 7: West South Central","CENS-D7","1996","1996","15-19 years","15-19",79024
,"Division 7: West South Central","CENS-D7","1996","1996","20-24 years","20-24",138455
,"Division 7: West South Central","CENS-D7","1996","1996","25-29 years","25-29",126832
,"Division 7: West South Central","CENS-D7","1996","1996","30-34 years","30-34",88299
,"Division 7: West South Central","CENS-D7","1996","1996","35-39 years","35-39",37005
,"Division 7: West South Central","CENS-D7","1996","1996","40-44 years","40-44",6282
,"Division 7: West South Central","CENS-D7","1996","1996","45-49 years","45-49",258
,"Division 7: West South Central","CENS-D7","1996","1996","50 years and over","50+",0
,"Division 7: West South Central","CENS-D7","1997","1997","Under 15 years","15",1817
,"Division 7: West South Central","CENS-D7","1997","1997","15-19 years","15-19",79584
,"Division 7: West South Central","CENS-D7","1997","1997","20-24 years","20-24",140101
,"Division 7: West South Central","CENS-D7","1997","1997","25-29 years","25-29",130067
,"Division 7: West South Central","CENS-D7","1997","1997","30-34 years","30-34",87994
,"Division 7: West South Central","CENS-D7","1997","1997","35-39 years","35-39",38062
,"Division 7: West South Central","CENS-D7","1997","1997","40-44 years","40-44",6852
,"Division 7: West South Central","CENS-D7","1997","1997","45-49 years","45-49",261
,"Division 7: West South Central","CENS-D7","1997","1997","50 years and over","50+",Suppressed
,"Division 7: West South Central","CENS-D7","1998","1998","Under 15 years","15",1737
,"Division 7: West South Central","CENS-D7","1998","1998","15-19 years","15-19",80682
,"Division 7: West South Central","CENS-D7","1998","1998","20-24 years","20-24",144543
,"Division 7: West South Central","CENS-D7","1998","1998","25-29 years","25-29",132743
,"Division 7: West South Central","CENS-D7","1998","1998","30-34 years","30-34",88663
,"Division 7: West South Central","CENS-D7","1998","1998","35-39 years","35-39",39672
,"Division 7: West South Central","CENS-D7","1998","1998","40-44 years","40-44",7179
,"Division 7: West South Central","CENS-D7","1998","1998","45-49 years","45-49",264
,"Division 7: West South Central","CENS-D7","1998","1998","50 years and over","50+",14
,"Division 7: West South Central","CENS-D7","1999","1999","Under 15 years","15",1679
,"Division 7: West South Central","CENS-D7","1999","1999","15-19 years","15-19",80189
,"Division 7: West South Central","CENS-D7","1999","1999","20-24 years","20-24",147253
,"Division 7: West South Central","CENS-D7","1999","1999","25-29 years","25-29",134792
,"Division 7: West South Central","CENS-D7","1999","1999","30-34 years","30-34",90342
,"Division 7: West South Central","CENS-D7","1999","1999","35-39 years","35-39",40192
,"Division 7: West South Central","CENS-D7","1999","1999","40-44 years","40-44",7351
,"Division 7: West South Central","CENS-D7","1999","1999","45-49 years","45-49",314
,"Division 7: West South Central","CENS-D7","1999","1999","50 years and over","50+",Suppressed
,"Division 7: West South Central","CENS-D7","2000","2000","Under 15 years","15",1647
,"Division 7: West South Central","CENS-D7","2000","2000","15-19 years","15-19",79764
,"Division 7: West South Central","CENS-D7","2000","2000","20-24 years","20-24",153109
,"Division 7: West South Central","CENS-D7","2000","2000","25-29 years","25-29",137751
,"Division 7: West South Central","CENS-D7","2000","2000","30-34 years","30-34",96064
,"Division 7: West South Central","CENS-D7","2000","2000","35-39 years","35-39",42350
,"Division 7: West South Central","CENS-D7","2000","2000","40-44 years","40-44",7880
,"Division 7: West South Central","CENS-D7","2000","2000","45-49 years","45-49",301
,"Division 7: West South Central","CENS-D7","2000","2000","50 years and over","50+",11
,"Division 7: West South Central","CENS-D7","2001","2001","Under 15 years","15",1510
,"Division 7: West South Central","CENS-D7","2001","2001","15-19 years","15-19",76572
,"Division 7: West South Central","CENS-D7","2001","2001","20-24 years","20-24",154806
,"Division 7: West South Central","CENS-D7","2001","2001","25-29 years","25-29",135536
,"Division 7: West South Central","CENS-D7","2001","2001","30-34 years","30-34",98862
,"Division 7: West South Central","CENS-D7","2001","2001","35-39 years","35-39",41820
,"Division 7: West South Central","CENS-D7","2001","2001","40-44 years","40-44",8374
,"Division 7: West South Central","CENS-D7","2001","2001","45-49 years","45-49",394
,"Division 7: West South Central","CENS-D7","2001","2001","50 years and over","50+",16
,"Division 7: West South Central","CENS-D7","2002","2002","Under 15 years","15",1474
,"Division 7: West South Central","CENS-D7","2002","2002","15-19 years","15-19",75237
,"Division 7: West South Central","CENS-D7","2002","2002","20-24 years","20-24",158528
,"Division 7: West South Central","CENS-D7","2002","2002","25-29 years","25-29",137182
,"Division 7: West South Central","CENS-D7","2002","2002","30-34 years","30-34",101075
,"Division 7: West South Central","CENS-D7","2002","2002","35-39 years","35-39",42562
,"Division 7: West South Central","CENS-D7","2002","2002","40-44 years","40-44",8637
,"Division 7: West South Central","CENS-D7","2002","2002","45-49 years","45-49",435
,"Division 7: West South Central","CENS-D7","2002","2002","50 years and over","50+",16
,"Division 8: Mountain","CENS-D8","1995","1995","Under 15 years","15",668
,"Division 8: Mountain","CENS-D8","1995","1995","15-19 years","15-19",34447
,"Division 8: Mountain","CENS-D8","1995","1995","20-24 years","20-24",70362
,"Division 8: Mountain","CENS-D8","1995","1995","25-29 years","25-29",68726
,"Division 8: Mountain","CENS-D8","1995","1995","30-34 years","30-34",52499
,"Division 8: Mountain","CENS-D8","1995","1995","35-39 years","35-39",22739
,"Division 8: Mountain","CENS-D8","1995","1995","40-44 years","40-44",4162
,"Division 8: Mountain","CENS-D8","1995","1995","45-49 years","45-49",183
,"Division 8: Mountain","CENS-D8","1995","1995","50 years and over","50+",0
,"Division 8: Mountain","CENS-D8","1996","1996","Under 15 years","15",588
,"Division 8: Mountain","CENS-D8","1996","1996","15-19 years","15-19",34876
,"Division 8: Mountain","CENS-D8","1996","1996","20-24 years","20-24",72570
,"Division 8: Mountain","CENS-D8","1996","1996","25-29 years","25-29",72671
,"Division 8: Mountain","CENS-D8","1996","1996","30-34 years","30-34",52819
,"Division 8: Mountain","CENS-D8","1996","1996","35-39 years","35-39",24050
,"Division 8: Mountain","CENS-D8","1996","1996","40-44 years","40-44",4545
,"Division 8: Mountain","CENS-D8","1996","1996","45-49 years","45-49",217
,"Division 8: Mountain","CENS-D8","1996","1996","50 years and over","50+",0
,"Division 8: Mountain","CENS-D8","1997","1997","Under 15 years","15",610
,"Division 8: Mountain","CENS-D8","1997","1997","15-19 years","15-19",34985
,"Division 8: Mountain","CENS-D8","1997","1997","20-24 years","20-24",73076
,"Division 8: Mountain","CENS-D8","1997","1997","25-29 years","25-29",73491
,"Division 8: Mountain","CENS-D8","1997","1997","30-34 years","30-34",52974
,"Division 8: Mountain","CENS-D8","1997","1997","35-39 years","35-39",24617
,"Division 8: Mountain","CENS-D8","1997","1997","40-44 years","40-44",4904
,"Division 8: Mountain","CENS-D8","1997","1997","45-49 years","45-49",227
,"Division 8: Mountain","CENS-D8","1997","1997","50 years and over","50+",Suppressed
,"Division 8: Mountain","CENS-D8","1998","1998","Under 15 years","15",635
,"Division 8: Mountain","CENS-D8","1998","1998","15-19 years","15-19",36354
,"Division 8: Mountain","CENS-D8","1998","1998","20-24 years","20-24",76784
,"Division 8: Mountain","CENS-D8","1998","1998","25-29 years","25-29",77046
,"Division 8: Mountain","CENS-D8","1998","1998","30-34 years","30-34",53315
,"Division 8: Mountain","CENS-D8","1998","1998","35-39 years","35-39",25800
,"Division 8: Mountain","CENS-D8","1998","1998","40-44 years","40-44",5238
